المسعى الدور الأرضي,المسعى الدور الأول,المسعى الدور الثاني,الوقت,حالة المسعى الدور الأرضي,حالة المسعى الدور الأول,حالة المسعى الدور الثاني,حالة سطح المطاف,حالة صحن المطاف,حالة مطاف الدور الأرضي,حالة مطاف الدور الأول,سطح المطاف,صحن المطاف,مطاف الدور الأرضي,مطاف الدور الأول
"55 - 65","35 - 45","25 - 35","2026-02-27T13:08:22.100Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:13:22.368Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:18:21.811Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:23:21.951Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:28:22.294Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:33:22.293Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:38:21.971Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:43:22.286Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:48:22.040Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:53:21.819Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T13:58:22.266Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:03:21.882Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:08:22.133Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","115 - 125","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:13:22.285Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:18:21.857Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:23:22.122Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:28:22.270Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:33:21.959Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:38:22.199Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:43:22.251Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:48:21.919Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:53:22.252Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T14:58:22.322Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T15:03:21.812Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T15:08:22.328Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T15:13:22.605Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T15:18:21.795Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"55 - 65","35 - 45","25 - 35","2026-02-27T15:23:22.141Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أحمر","50 - 60","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:28:22.270Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:33:21.859Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:38:22.219Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:43:22.371Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:48:21.805Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:53:22.055Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T15:58:22.471Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:03:21.897Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:08:22.200Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:13:22.263Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:18:21.884Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:23:22.348Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:28:22.239Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:33:22.190Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:38:22.669Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:43:22.472Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:48:22.532Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:53:22.760Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T16:58:22.299Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:03:22.538Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:08:22.546Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:13:22.295Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:18:21.972Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:23:22.047Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:28:22.277Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:33:21.929Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:38:22.674Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:43:22.478Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:48:21.848Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:53:21.872Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T17:58:22.290Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","25 - 35","2026-02-27T18:03:21.847Z","أخضر","أحمر","أخضر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:08:22.230Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:13:22.251Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:18:21.846Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:23:22.114Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:28:22.944Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:33:21.675Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:38:22.286Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:43:21.904Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:48:22.305Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:53:21.967Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T18:58:22.309Z","أخضر","أحمر","أحمر","أحمر","أحمر","أحمر","أحمر","70 - 80","55 - 65","70 - 80","70 - 80"
"35 - 45","35 - 45","35 - 45","2026-02-27T19:03:22.313Z","أخضر","أحمر","أحمر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:08:22.827Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:13:21.773Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:18:22.054Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:23:22.087Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:28:22.372Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:33:21.959Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:38:22.361Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:43:22.363Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:48:21.944Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:53:22.114Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T19:58:22.377Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T20:03:22.661Z","أحمر","أحمر","أخضر","أخضر","أحمر","أحمر","أخضر","50 - 60","55 - 65","70 - 80","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:08:22.496Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:13:22.266Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:18:22.107Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:23:21.897Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:28:22.336Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:33:22.011Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:38:22.173Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:43:22.078Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:48:21.828Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:53:21.939Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T20:58:22.353Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:03:21.937Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:08:22.628Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:13:21.751Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:18:22.002Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:23:22.639Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:28:21.797Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:33:21.851Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:38:22.724Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:43:21.767Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:48:21.762Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:53:21.896Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T21:58:22.245Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T22:03:21.851Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T22:08:22.533Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T22:13:22.368Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T22:18:21.940Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"45 - 55","35 - 45","25 - 35","2026-02-27T22:23:21.937Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:28:22.373Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:33:21.909Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:38:23.156Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:43:21.840Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:48:21.889Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:53:21.886Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T22:58:22.290Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:03:21.801Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:08:22.720Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:13:40.753Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:18:40.771Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:23:40.762Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:28:40.762Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:33:40.767Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:38:22.226Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:43:40.767Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:48:40.751Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:53:40.758Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-27T23:58:40.774Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:03:40.792Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:08:22.025Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:13:40.764Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:18:40.770Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:23:40.757Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:28:40.758Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:33:40.762Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:38:21.974Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:43:40.753Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:48:40.759Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:53:40.789Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
"55 - 65","35 - 45","25 - 35","2026-02-28T00:58:21.882Z","أحمر","أحمر","أخضر","أخضر","أحمر","أخضر","أخضر","50 - 60","55 - 65","50 - 60","50 - 60"
